window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 14:49:10.482,2026-03-13 14:49:36.279,neutral,negative,E1,exp1
2026-03-13 14:49:36.279,2026-03-13 14:49:50.421,neutral,negative,E1,exp1
2026-03-13 14:49:50.421,2026-03-13 14:50:05.373,neutral,negative,E1,exp1
2026-03-13 14:50:05.373,2026-03-13 14:50:20.327,neutral,negative,E1,exp1
2026-03-13 14:50:30.482,2026-03-13 14:50:58.301,positive,positive,E2,exp1
2026-03-13 14:50:58.301,2026-03-13 14:51:10.176,neutral,negative,E2,exp1
2026-03-13 14:51:10.176,2026-03-13 14:51:25.229,positive,positive,E2,exp1
2026-03-13 14:51:25.229,2026-03-13 14:51:40.184,neutral,negative,E2,exp1
2026-03-13 14:51:45.483,2026-03-13 14:52:10.194,neutral,negative,E15,exp1
2026-03-13 14:52:10.194,2026-03-13 14:52:24.215,neutral,negative,E15,exp1
2026-03-13 14:52:24.215,2026-03-13 14:52:40.193,neutral,negative,E15,exp1
2026-03-13 14:52:40.193,2026-03-13 14:52:55.247,positive,negative,E15,exp1
2026-03-13 14:52:59.483,2026-03-13 14:53:27.186,neutral,negative,E1,exp1
2026-03-13 14:53:27.186,2026-03-13 14:53:39.268,positive,positive,E1,exp1
2026-03-13 14:53:39.268,2026-03-13 14:53:54.219,neutral,negative,E1,exp1
2026-03-13 14:53:54.219,2026-03-13 14:54:11.223,positive,positive,E1,exp1
2026-03-13 14:54:18.481,2026-03-13 14:54:45.216,positive,positive,E2,exp1
2026-03-13 14:54:45.216,2026-03-13 14:54:59.242,positive,positive,E2,exp1
2026-03-13 14:54:59.242,2026-03-13 14:55:13.180,neutral,positive,E2,exp1
2026-03-13 14:55:13.180,2026-03-13 14:55:29.246,neutral,negative,E2,exp1
2026-03-13 14:55:34.483,2026-03-13 14:56:00.175,neutral,negative,E1,exp1
2026-03-13 14:56:00.175,2026-03-13 14:56:16.262,positive,positive,E1,exp1
2026-03-13 14:56:16.262,2026-03-13 14:56:29.150,neutral,negative,E1,exp1
2026-03-13 14:56:29.150,2026-03-13 14:56:45.337,neutral,negative,E1,exp1
2026-03-13 14:56:56.483,2026-03-13 14:57:22.399,neutral,negative,E2,exp1
2026-03-13 14:57:22.399,2026-03-13 14:57:36.231,neutral,negative,E2,exp1
2026-03-13 14:57:36.231,2026-03-13 14:57:51.177,neutral,negative,E2,exp1
2026-03-13 14:57:51.177,2026-03-13 14:58:06.262,positive,negative,E2,exp1
