window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 16:48:53.093,2026-03-13 16:49:18.779,neutral,negative,E1,實驗歌曲
2026-03-13 16:49:18.779,2026-03-13 16:49:31.767,positive,positive,E1,實驗歌曲
2026-03-13 16:49:31.767,2026-03-13 16:49:46.719,positive,positive,E1,實驗歌曲
2026-03-13 16:49:46.719,2026-03-13 16:50:02.594,positive,positive,E1,實驗歌曲
2026-03-13 16:50:02.594,2026-03-13 16:50:17.649,positive,positive,E1,實驗歌曲
2026-03-13 16:50:24.094,2026-03-13 16:50:52.780,positive,positive,E2,實驗歌曲
2026-03-13 16:50:52.780,2026-03-13 16:51:05.674,positive,positive,E2,實驗歌曲
2026-03-13 16:51:05.674,2026-03-13 16:51:19.718,positive,positive,E2,實驗歌曲
2026-03-13 16:51:19.718,2026-03-13 16:51:34.650,positive,positive,E2,實驗歌曲
2026-03-13 16:51:34.650,2026-03-13 16:51:49.601,positive,positive,E2,實驗歌曲
2026-03-13 16:51:49.601,2026-03-13 16:52:32.564,neutral,positive,E2,實驗歌曲
2026-03-13 16:52:33.091,2026-03-13 16:53:00.676,positive,positive,E15,實驗歌曲
2026-03-13 16:53:00.676,2026-03-13 16:53:11.746,positive,positive,E15,實驗歌曲
2026-03-13 16:53:11.746,2026-03-13 16:53:27.641,positive,positive,E15,實驗歌曲
2026-03-13 16:53:27.641,2026-03-13 16:53:42.654,positive,positive,E15,實驗歌曲
