window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 13:49:55.660,2026-03-13 13:50:23.472,positive,positive,E1,exp1
2026-03-13 13:50:23.472,2026-03-13 13:50:38.443,neutral,positive,E1,exp1
2026-03-13 13:50:38.443,2026-03-13 13:50:52.461,positive,positive,E1,exp1
2026-03-13 13:50:52.461,2026-03-13 13:51:07.401,neutral,positive,E1,exp1
2026-03-13 13:51:10.660,2026-03-13 13:51:40.470,positive,positive,E2,exp1
2026-03-13 13:51:40.470,2026-03-13 13:51:51.841,neutral,positive,E2,exp1
2026-03-13 13:51:51.841,2026-03-13 13:52:05.367,positive,positive,E2,exp1
2026-03-13 13:52:05.367,2026-03-13 13:52:20.618,positive,positive,E2,exp1
2026-03-13 13:52:20.618,2026-03-13 13:52:35.767,positive,positive,E2,exp1
2026-03-13 13:52:39.659,2026-03-13 13:53:05.374,positive,positive,E15,exp1
2026-03-13 13:53:05.374,2026-03-13 13:53:21.353,neutral,positive,E15,exp1
2026-03-13 13:53:21.353,2026-03-13 13:53:34.455,positive,positive,E15,exp1
2026-03-13 13:53:34.455,2026-03-13 13:53:50.524,neutral,positive,E15,exp1
2026-03-13 13:53:56.661,2026-03-13 13:54:22.484,positive,positive,E1,exp1
2026-03-13 13:54:22.484,2026-03-13 13:54:36.622,positive,positive,E1,exp1
2026-03-13 13:54:36.622,2026-03-13 13:54:51.455,positive,positive,E1,exp1
2026-03-13 13:54:51.455,2026-03-13 13:55:07.422,neutral,positive,E1,exp1
2026-03-13 13:55:14.659,2026-03-13 13:55:41.425,neutral,positive,E2,exp1
2026-03-13 13:55:41.425,2026-03-13 13:55:54.432,positive,positive,E2,exp1
2026-03-13 13:55:54.432,2026-03-13 13:56:09.481,positive,positive,E2,exp1
2026-03-13 13:56:15.661,2026-03-13 13:56:40.400,neutral,positive,E16,exp1
2026-03-13 13:56:40.400,2026-03-13 13:56:55.580,positive,positive,E16,exp1
2026-03-13 13:56:55.580,2026-03-13 13:57:10.513,positive,positive,E16,exp1
2026-03-13 13:57:10.513,2026-03-13 13:57:26.496,positive,positive,E16,exp1
2026-03-13 13:57:26.496,2026-03-13 13:57:42.391,neutral,positive,E16,exp1
2026-03-13 13:57:42.391,2026-03-13 13:57:56.690,positive,positive,E16,exp1
