window_start,window_end,raw_prediction,consensus_result,eq,song
2026-03-13 16:09:16.092,2026-03-13 16:09:46.644,positive,positive,E1,實驗歌曲
2026-03-13 16:09:46.644,2026-03-13 16:10:00.776,positive,positive,E1,實驗歌曲
2026-03-13 16:10:00.776,2026-03-13 16:10:12.653,neutral,positive,E1,實驗歌曲
2026-03-13 16:10:12.653,2026-03-13 16:10:26.680,positive,positive,E1,實驗歌曲
2026-03-13 16:10:26.680,2026-03-13 16:10:41.733,neutral,positive,E1,實驗歌曲
2026-03-13 16:10:50.092,2026-03-13 16:11:18.742,positive,positive,E2,實驗歌曲
2026-03-13 16:11:18.742,2026-03-13 16:11:29.661,neutral,negative,E2,實驗歌曲
2026-03-13 16:11:29.661,2026-03-13 16:11:44.720,positive,positive,E2,實驗歌曲
2026-03-13 16:11:44.720,2026-03-13 16:11:59.658,neutral,negative,E2,實驗歌曲
2026-03-13 16:11:59.658,2026-03-13 16:12:17.681,positive,positive,E2,實驗歌曲
